,country_code,country_name,year,child_employment_rate,log_child_employment_rate,log_gdp_per_capita_ppp,agriculture_value_added_pct,primary_school_enrollment,life_expectancy,urban_population_pct,rural_electricity_access,child_population_pct,youth_unemployment_rate,log_private_consumption_per_capita,governance_index
83,GNB,Guinea-Bissau,2014,35.79442725549638,3.605346400433154,7.664436366514852,34.82580687136835,,59.476,41.715,5.8,42.4752135475821,3.94,6.0542848776397316,-1.9624192179340625
84,GNB,Guinea-Bissau,2019,19.179829057069743,3.0046835439812467,7.791152544906396,31.082569280978014,,62.161,43.777,14.3,40.9289087338695,2.051,6.352752475260415,-1.833831924409365
85,GNB,Guinea-Bissau,2022,11.496958713867919,2.525485311814739,7.849879074286568,38.66455312577423,,63.605,45.041,15.8,39.7047487828474,2.826,6.434460750420278,-1.6542195930954995
86,GTM,Guatemala,2010,4.746096110053604,1.7485206868449197,9.192788983558792,11.234151690189725,117.174377441406,69.885,48.403,74.2,39.2796021410179,5.296,7.995899175146752,-0.2691070402559277
87,GTM,Guatemala,2011,3.059460410467358,1.4010500609553713,9.213643744536688,11.258742752003558,115.991149902344,70.321,48.701,74.0,38.6764836466538,4.994,8.01171106389509,-0.3320207735661496
88,GTM,Guatemala,2012,6.545101884223585,2.0208985956705336,9.223042168936118,10.72274975333672,111.67342376709,70.722,49.0,78.3,38.0849047722887,4.618,8.022723312149632,-0.5211002650980883
89,GTM,Guatemala,2013,3.79667500042013,1.5679229696348271,9.239786477141516,10.356221215862478,108.923187255859,70.878,49.311,80.4,37.5045032969479,5.512,8.039543870206858,-0.4572360509669907
90,GTM,Guatemala,2014,4.073366370984863,1.6240045757648964,9.264313645501513,10.074483516950671,105.432632446289,70.942,49.634,76.7,36.9435760415388,5.691,8.064972193364431,-0.47122010471729925
91,GTM,Guatemala,2015,3.785932501911647,1.565680886150551,9.286093104917622,9.96700317233299,104.099853515625,70.915,49.971,84.6,36.4121874487963,5.581,8.0967874338244,-0.49336600374405765
92,GTM,Guatemala,2016,3.426197145369524,1.4875407831966336,9.294092530811708,9.661395488147033,103.013893127441,71.215,50.319,86.8,35.8878857392942,5.582,8.118266615059479,-0.4777749626973059
93,GTM,Guatemala,2017,3.9338194040606163,1.5961134150985348,9.306237568334847,9.696286721408097,103.033592224121,71.583,50.68,89.6,35.3681791247693,4.939,8.132284860898322,-0.5338607391074832
94,GTM,Guatemala,2018,4.142855999658113,1.6376085671120717,9.323077072102155,9.435507565446,103.577819824219,71.496,51.054,91.2,34.8649698721067,4.679,8.15048360525238,-0.5761996492454043
95,GTM,Guatemala,2019,3.304010530358697,1.459547269501169,9.347261435578021,9.408725550642728,103.427291870117,71.639,51.439,93.5,34.3505691205216,4.461,8.18138148196601,-0.6715242106884565
96,GTM,Guatemala,2021,3.5729735975367003,1.5201636711050635,9.378067692433424,9.17348969814635,103.809898376465,67.858,52.245,98.1,33.2663206192998,3.785,8.218489851274075,-0.9284113669542202
97,GTM,Guatemala,2022,4.176006906946583,1.6440338916155188,9.404996428032415,9.082101904823077,103.906227111816,71.206,52.666,98.1,32.7140281166214,6.274,8.246501926483704,-1.0398862535088838
98,GUY,Guyana,2014,12.851674641148309,2.6284061380422834,9.395246330857985,24.594086500999826,91.8280268330104,67.334,26.414,84.2,30.4814585490614,23.72,,0.15873524952506352
99,GUY,Guyana,2020,11.398750851250734,2.517595729734238,9.864493583958064,16.851003324985076,99.12451171875,67.751,26.786,90.5,29.4667432009278,30.857,,0.5676627346634755
103,HND,Honduras,2010,3.5924230790867187,1.52440778872065,8.593611915020615,11.591220437975716,98.8030395507812,69.77,51.885,61.8,38.0690967564371,7.506,7.395251774561072,-0.4273583929436651
104,HND,Honduras,2011,3.426523990218243,1.4876146237353474,8.610580380907164,14.21965580169765,97.1901092529297,70.116,52.543,63.4,37.4398855441133,8.064,7.4099459364025275,-0.3273757601467064
105,HND,Honduras,2012,3.363902507945692,1.4733667276538414,8.630808935616054,13.56629403470611,93.8849105834961,70.46,53.202,66.7,36.8121668237795,6.972,7.4315675452945165,-0.7108801863757664
106,HND,Honduras,2013,3.9283341027998393,1.5950010207675,8.638549187200883,12.191127940396145,91.1447525024414,70.765,53.858,73.4,36.1855111396849,9.823,7.448750811945163,-0.7446887373377482
107,HND,Honduras,2014,3.7733116534691,1.563040330983077,8.649302003617477,12.538350133310502,89.2037887573242,71.032,54.514,76.5,35.5523882635372,11.865,7.454612498955234,-0.5194114565712916
108,HND,Honduras,2018,4.213480497552659,1.6512476744814577,8.735570158636815,11.610160461364448,88.743467505188,72.001,57.096,81.9,33.1413951598893,10.489,7.562008755071753,-0.3689093347640356
109,HND,Honduras,2019,3.6178690073293205,1.5299333448585568,8.74273687495009,10.638033409475147,87.798469543457,72.124,57.73,80.3,32.6392711477148,10.761,7.590439946569349,-0.5250165709660545
110,HND,Honduras,2023,3.3212971443500114,1.463555622081373,8.774758271317744,11.978794840663154,86.5522918701172,72.884,60.212,88.8,30.9961501574799,10.498,7.699155822297319,-0.8643907417964951
111,HTI,Haiti,2012,20.262582263831458,3.0569488266777625,8.09764159678915,19.469903594855527,,62.273,49.477,3.9,35.4691996207858,34.304,7.158486327263643,-1.726469949922316
112,IND,India,2021,0.14137039784507469,0.13222964383152971,8.993553893405336,17.372561526031365,102.316123319201,67.282,35.393,99.3,25.9051614152815,20.824,7.091825696293593,1.1702403620959814
113,IND,India,2022,0.10982427782227158,0.10420169452394244,9.058981513635942,16.546129592575387,111.084455603874,71.698,35.872,99.3,25.4877038842946,17.769,7.155918483263166,1.4094999245077169
114,IND,India,2023,0.22898834285705166,0.2061913454754901,9.138065982793638,16.193189357159135,112.03123091725,72.003,36.364,99.2,25.0570622244071,15.661,7.201163279803446,1.5022987553698401
115,IND,India,2024,0.17303435981576926,0.15959386149788643,9.191979927972556,16.352960956941985,,,36.867,,24.6239027058366,16.028,7.265656681379597,
118,IRN,"Iran, Islamic Republic of",2010,0.6056049612318444,0.47350060845027747,9.598195045846326,6.499390725602164,107.240280151367,74.39,70.626,98.3,23.4440887155161,28.7,7.929279652882134,-0.4864833589809604
119,IRN,"Iran, Islamic Republic of",2011,0.41355382290438564,0.3461069751799367,9.611948684784423,4.642116204566292,107.185096740723,74.721,71.2,98.3,23.3284122570617,26.645,7.959912846643461,-0.36122014181700657
